name,city,state,nirfRank,rank
A G Patil Institute of Technology,Solapur,Maharashtra,nan,nan
A P Shah Institute Of Technology,Thane,Maharashtra,nan,nan
"A S College, Deoghar",Deoghar,Jharkhand,nan,nan
A. A. Government Arts College,Tiruchirappalli,Tamil Nadu,nan,nan
"A. B. N. Seal College, Coochbehar",Koch Bihar,West Bengal,nan,nan
A. D. Patel Institute of Technology,Anand,Gujarat,nan,nan
A. J. K. College of Arts & Science,Coimbatore,Tamil Nadu,nan,nan
A. J. Kalasala,Machilipatnam,Andhra Pradesh,nan,nan
A. M. A. L. Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
A. M. Reddy Memorial College of Engineering and Technology,Narasaraopet,Andhra Pradesh,nan,nan
A. N. R. College,Krishna,Andhra Pradesh,nan,nan
A. R. Burla Mahila Varishtha Mahavidyalaya,Solapur,Maharashtra,nan,nan
A. V. C. College,Mayiladuthurai,Tamil Nadu,nan,nan
A. V. V. M. Sri Pushpam College,Thanjavur,Tamil Nadu,nan,nan
A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,6,nan
A.D.M. College for Women,Nagapattinam,Tamil Nadu,nan,nan
A.D.P. College,Nagaon,Assam,nan,nan
A.N.College,Patna,Bihar,nan,nan
A.P Residential Degree College,MACHERLA,Andhra Pradesh,nan,nan
A.P.A. College of Arts & Culture,"Palani, Dindigul District",Tamil Nadu,nan,nan
A.P.C. Mahalaxmi College for Women,Thoothukkudi,Tamil Nadu,nan,nan
A.V.C. College of Engineering,Mayiladuthurai,Tamil Nadu,nan,nan
A.V.P. College of Arts and Science,Tiruppur,Tamil Nadu,nan,nan
ABACUS Institute of Engineering and Management,Mogra,West Bengal,nan,nan
ABES Engin,Ghaziabad,Uttar Pradesh,251,nan
ABES Engineering College,Ghaziabad,Uttar Pradesh,nan,nan
"ABES Institute of Technology, Ghaziabad",Ghaziabad,Uttar Pradesh,nan,nan
ABM College Jamshedpur,JAMSHEDPUR,Jharkhand,nan,nan
"ABSS Institute of Technology, Mawana Road, Meerut",MEERUT,Uttar Pradesh,nan,nan
ACE Engineering college,Hyderabad,Telangana,nan,nan
ACROPOLIS FACULTY OF MANAGEMENT & RESEARCH,Indore,Madhya Pradesh,nan,nan
ACS College of Engineering,Bengaluru,Karnataka,nan,nan
ACTS Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
"ADHIPARASAKTHI DENTAL COLLEGE AND HOSPITAL, KANCHEEPURAM",Melmaruvathur,Tamil Nadu,nan,nan
AISSMS College of Engineering,Pune,Maharashtra,nan,nan
AJ Institute of Dental Sciences,Dakshina Kannada,Karnataka,nan,nan
"AL BARKAT INSTITUTE OF MANAGEMENT STUDIES, ALIGARH",Aligarh,Uttar Pradesh,nan,nan
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA",Patna,Bihar,nan,nan
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR",Raipur,Chhattisgarh,nan,nan
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH",Rishikesh,Uttarakhand,nan,nan
"AMALA INSTITUTE OF MEDICAL SCIENCES, THRISSUR",Thrissur,Kerala,nan,nan
AMJAD ALI KHAN COLLEGE OF BUSINESS ADMINISTRATION,Hyderabad,Telangana,nan,nan
"ANNADA COLLEGE, HAZARIBAG",Hazaribag,Jharkhand,nan,nan
APEEJAY INSTITUTE OF MANAGEMENT AND ENGINEERING TECHNICAL CAMPUS,Jalandhar,Punjab,nan,nan
"APSPM`S ARTS & SCIENCE COLLEGE, AINPUR",AINPUR,Maharashtra,nan,nan
ATME College of Engineering,Mysore,Karnataka,nan,nan
AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,77,nan
AVS College of Arts & Science,Salem,Tamil Nadu,nan,nan
AVS College of Technology (Formerly AVS Technical Campus),SALEM,Tamil Nadu,nan,nan
"AVVP Shree Annadaneshwar College, Naregal",Gadag,Karnataka,nan,nan
Aalim Muhammed Salegh College of Engineering,Thiruvallur,Tamil Nadu,nan,nan
Aarupadai Veedu Institute of Technology,Chennai,Tamil Nadu,nan,nan
Aarupadai Veedu Medical College and Hospital,Puducherry,Pondicherry,nan,nan
Abasaheb Garware Institute of Management Studies,Sangli,Maharashtra,nan,nan
Abhyayapuri College,Bongaigaon,Assam,nan,nan
Academy of Maritime Educatio,Kancheepuram,Tamil Nadu,252,nan
Academy of Maritime Education and Training,Kancheepuram,Tamil Nadu,nan,nan
Academy of Scientific & Innovative Research,Ghaziabad,Uttar Pradesh,18,nan
Academy of Scientific & Innovative Research ,Ghaziabad,Uttar Pradesh,nan,nan
Academy of Technology,Hooghly,West Bengal,nan,nan
Accurate Institute of Advanced Management,Greater Noida,Uttar Pradesh,nan,nan
Accurate Institute of Architecture & Planning,Greater Noida,Uttar Pradesh,nan,nan
Accurate Institute of Management & Technology,Greater Noida,Uttar Pradesh,nan,nan
Acharya Institute of Management and Science,Bengaluru,Karnataka,nan,nan
Acharya Institute of Technology,Bengaluru,Karnataka,nan,nan
"Acharya Instiute Graduate Studies(of Journalism), Chikkabanavara",Bengaluru,Karnataka,nan,nan
Acharya Narendra Dev College,New Delhi,Delhi,nan,nan
"Acharya Patashala College of Commerce, N.R. Colony, Bangalore",Bangalore,Karnataka,nan,nan
Acharya Prafulla Chandra College,Kolkata,West Bengal,nan,nan
Acharya School of Design,Bangalore,Karnataka,nan,nan
"Acharya Sukumar Sen Mahavidyalaya, Burdwan",Burdwan,West Bengal,nan,nan
"Acharyar NRV School of Architecture, Bangalore",Bangalore,Karnataka,nan,nan
"Acharyas Bangalore B School, Bangalore",Bangalore,Karnataka,nan,nan
Achievers College of Commerce and Management Night College,Kalyan,Maharashtra,nan,nan
"Acropolis Institute of Management Studies & Research, Manglia Chouraha, Indore",Indore,Madhya Pradesh,nan,nan
Acropolis Institute of Technology and Research,Indore,Madhya Pradesh,nan,nan
Adamas University,Kolkata,West Bengal,nan,nan
Adani Institute of Infrastructure Engineering,Ahmedabad,Gujarat,nan,nan
Adarsh College,SHEOPUR,Madhya Pradesh,nan,nan
Adarsh College,Dist. Giridih,Jharkhand,nan,nan
"Adarsh Mahavidyalaya, Vita",Sangli,Maharashtra,nan,nan
"Adarsh Science, Jairamdas Bhagchand Arts & Birla Commerce College, Dhamangaon",Amravati,Maharashtra,nan,nan
"Adarsh Shikshan Sanstha`s Kalikadevi Arts, Commerce & Science College",Shirur Kasar,Maharashtra,nan,nan
"Adarsha Edu. Society's Arts Commerce & Science College, Hingoli",Hingoli,Maharashtra,nan,nan
Adharsh Vidyalaya College of Arts and Science for Women,Bhavani Tk,Tamil Nadu,nan,nan
Adhiparasakthi College of Arts and Science,Raniipet,Tamil Nadu,nan,nan
Adhiparasakthi Engineering College,Chengalpat,Tamil Nadu,nan,nan
"Adhiyaman Arts and Science College for Women, Srinivasa Nagar",Krishnagiri,Tamil Nadu,nan,nan
Adi Shankara Institute of Engineering and Technology,Kalady,Kerala,nan,nan
Adichunchanagiri Institute of Medical Science,Nagamangala,Karnataka,nan,nan
Adichunchanagiri Institute of Technology,Chikmagalur,Karnataka,nan,nan
"Adina Institute of Science and Technology, Sagar",Sagar,Madhya Pradesh,nan,nan
"Aditanar College of Arts & Science, Virapandianpattinam",Thoothukkudi,Tamil Nadu,nan,nan
Aditi Mahavidyalaya,Delhi,Delhi,nan,nan
Aditya College of Engineering,Madanapalle,Andhra Pradesh,nan,nan
Aditya College of Engineering,Surampalem,Andhra Pradesh,nan,nan
Aditya College of Engineering & Technology,Surampalem,Andhra Pradesh,nan,nan
Aditya Degree College,Vizianagaram,Andhra Pradesh,nan,nan
Aditya Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
"Aditya Degree College for Women, Kakinada",KAKINADA,Andhra Pradesh,nan,nan
Aditya Engineering College,Surampalem,Andhra Pradesh,nan,nan
Aditya Institute of Management Studies and Research,Mumbai,Maharashtra,nan,nan
Aditya Institute of Technology and Management,Tekkali,Andhra Pradesh,nan,nan
Adusumilli Gopalakrishnaiah & Sugarcane Growers Siddhartha Degree College of Arts & Science,Vuyyuru,Andhra Pradesh,nan,nan
Aeya Institute of Engineering & Technology,Jaipur,Rajasthan,nan,nan
Aggarwal College,Dist. Faridabad,Haryana,nan,nan
Agnel Institute of Technology and Design,Assagao,Goa,nan,nan
Agni College of Technology,Chennai,Tamil Nadu,nan,nan
"Agricultural Development Trusts Sharadabai Pawar Mahila Arts, Commerce & Science College",Baramati,Maharashtra,nan,nan
Agurchand Manmull Jain College,Chennai,Tamil Nadu,nan,nan
Ahalia School of Management,Palakkad,Kerala,nan,nan
Ahmednagar Jilha Maratha Vidya Prasarak Samaj`s New Arts Commerce & Science College,Ahmednagar,Maharashtra,nan,nan
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj`s New Arts,Commerce & Science College",Ahmednagar,Maharashtra,nan,nan
"Ahmednagar Jilha Maratha Vidya Prasarak Samajs New Arts,Commerce & Science College, Shevgaon, Dist. Ahmednagar",Shevgaon,Maharashtra,nan,nan
Ajay Kumar Garg Engineering College,Ghaziabad,Uttar Pradesh,nan,nan
Ajay Kumar Garg Institute of Management,Ghaziabad,Uttar Pradesh,nan,nan
Ajeenkya DY Patil School Of Engineering,Pune,Maharashtra,nan,nan
Ajeenkya DY Patil University,Pune,Maharashtra,nan,nan
Akbar Peerbhoy College of Commerce & Economics,Mumbai,Maharashtra,nan,nan
Akshaya College of Engineering and Technology,Coimbatore,Tamil Nadu,nan,nan
"Al- Ameen College, Edathala North P.O. Alwaye",Ernakulam,Kerala,nan,nan
Al-Badar Rural Gulbarga Dental College & Hospital,Gulbarga,Karnataka,nan,nan
Alagappa Chettiar Government College of Engineering and Technology,Sivaganga,Tamil Nadu,nan,nan
"Alagappa Government Arts College, Karaikudi",Karaikudi,Tamil Nadu,nan,nan
Alagappa University,Karaikudi,Tamil Nadu,nan,28
"Alard Institute and Management Sciences, Pune",Pune,Maharashtra,nan,nan
Aldel Education Trust's St. John College of Engineering,Palghar,Maharashtra,nan,nan
Aligarh Muslim University,nan,nan,22,nan
Aligarh Muslim University,Aligarh,Uttar Pradesh,nan,11
Aligarh Muslim University ,Aligarh,Uttar Pradesh,nan,nan
All India Institute of Medical Sciences ,New Delhi,Delhi,nan,nan
All India Institute of Medical Sciences Bhopal,Bhopal,Madhya Pradesh,nan,nan
All India Institute of Medical Sciences Bhubaneswar,nan,nan,26,nan
All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,nan,nan
All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,86,nan
All India Institute of Medical Sciences Jodhpur,nan,nan,16,nan
"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,9,nan
"All India Institute of Medical Sciences, Delhi",nan,nan,1,nan
"All India Institute of Medical Sciences, Raipur",nan,nan,49,nan
"All India Institute of Medical Sciences, Rishikesh",nan,nan,48,nan
"All India Shivaji Memorial Societys College of Engineering, Pune",Pune,Maharashtra,nan,nan
"All India Shivaji Memorial Societys Institute of Management, Pune",Pune,Maharashtra,nan,nan
All India Shri Shivaji Memorial Society`s Institute of Information Technology,Pune,Maharashtra,nan,nan
"All Saints' College, Thiruvananthapuram",Thiruvananthapuram,Kerala,nan,nan
Allagadda Institute of Management Science,Allagadda,Andhra Pradesh,nan,nan
Allahabad Degree College,Prayagraj,Uttar Pradesh,nan,nan
Allia,Bengaluru,Karnataka,253,nan
Alliance University,Bengaluru,Karnataka,nan,nan
Alliance University,nan,nan,98,nan
Alpha Arts and Science College,Chennai,Tamil Nadu,nan,nan
"Alphonsa College, Pala",Pala,Kerala,nan,nan
"Alva`s College, Sundari Ananada Alva Campus, Moodabidri",Moodbidri,Karnataka,nan,nan
"Alvas Institute of Engineering and Technology, Moodbidri",Dakshina Kannada,Karnataka,nan,nan
"Amal College of Advanced Studies, Myladi",Nilambur,Kerala,nan,nan
Amal Jyothi College of Engineering,Kottayam,Kerala,nan,nan
Amar Shahid Baba Ajit Singh Jujhar Singh Memorial College,Ropar,Punjab,nan,nan
"Ambah PG College, Ambah",Morena,Madhya Pradesh,nan,nan
Ambalika Institute of Management and Technology,Lucknow,Uttar Pradesh,nan,nan
Ambedkar College,Kumarghat,Tripura,nan,nan
Ambedkar Institute of Management Studies,Visakhapatnam,Andhra Pradesh,nan,nan
Amdar Shashikant Shinde Mahavidyalaya,Dist. Satara,Maharashtra,nan,nan
Amguri College,Sivasagar,Assam,nan,nan
Amity University,Gautam Budh Nagar,Uttar Pradesh,nan,22
Amity University,nan,nan,28,nan
"Amity University Haryana, Gurgaon",nan,nan,92,nan
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,114,nan
"Amity University Haryana, Gurgaon",Gurugram,Haryana,27,nan
"Amity University, Gwalior",Gwalior,Madhya Pradesh,153,nan
