course,abbreviation
Advanced Program,(Advanced Program) 
Bachelor Hotel Management and Catering Technology,(B.H.M.C.T) 
Bachelor Library Science,(B.L.Sc) 
Bachelor Of Physical Education,(B.P.Ed) 
Bachelor Of Social Work,(B.S.W) 
Bachelor in Mobility Science,(B.M.Sc) 
Bachelor in Prosthetics and Orthotics,(B.P.O) 
Bachelor in Science Education,(B.S.E) 
Bachelor of Applied Sciences,(B.A.S) 
Bachelor of Architecture,(B.Arch) 
Bachelor of Arts,(B.A) 
Bachelor of Arts,(B.A.S.L.P) 
Bachelor of Arts Bachelor of Education,(B.A. B.Ed) 
Bachelor of Arts Bachelor of Law,(B.A.B.L) 
Bachelor of Arts Bachelor of Law,(B.A.LLB) 
Bachelor of Audiology and Speech Language Pathology,(B.A.S.L.P) 
Bachelor of Ayurvedic Medicine and Surgery,(B.A.M.S) 
Bachelor of Business Administration,(B.B.A) 
Bachelor of Business Administration Bachelor of Law,(B.B.A LL.B) 
Bachelor of Business Management,(B.B.M) 
Bachelor of Business Studies,(B.B.S) 
Bachelor of Commerce,(B.Com) 
Bachelor of Communication Journalism,(B.C.J) 
Bachelor of Computer Applications,(B.C.A) 
Bachelor of Computer Science,(B.C.S) 
Bachelor of Dental Surgery,(B.D.S) 
Bachelor of Design,(B.Des) 
Bachelor of Divinity,(B.D) 
Bachelor of Education,(B.Ed) 
Bachelor of Education,(B.EdQ) 
Bachelor of Electronic Science,(B.E.S) 
Bachelor of Elementary Education,(B.EI.ED) 
Bachelor of Elementary Education,(B.EL.Ed) 
Bachelor of Engineering,(B.E) 
Bachelor of Fashion Technology,(B.F.Tech) 
Bachelor of Financial Investment and Analysis,(B.F.I.A) 
Bachelor of Fine Arts,(B.F.A) 
Bachelor of Fishery Sciences,(B.F.S) 
Bachelor of General Law,(B.G.L) 
Bachelor of Homeopathic Medicine And Surgery,(B.H.M.S) 
Bachelor of Hospitality and Tourism Management,(B.H.T.M) 
Bachelor of Hotel Management,(B.H.M) 
Bachelor of Information Systems Management,(B.I.S.M) 
Bachelor of Journalism and Mass Communication,(BJMC) 
Bachelor of Labour Management,(B.L.M) 
Bachelor of Law,(LL.B) 
Bachelor of Laws,(B.L) 
Bachelor of Library and Information Science,(B.L.I.S) 
Bachelor of Literature,(B.Lit) 
Bachelor of Medical Laboratory Technology,(B.M.L.T) 
Bachelor of Medical Record Science,(B.M.R.Sc) 
Bachelor of Medical Technology,(B.M.T) 
Bachelor of Medicine,(Bachelor of Medicine) 
Bachelor of Medicine Bachelor of Surgery,(M.B.B.S) 
Bachelor of Mental Retardation,(B.M.R) 
Bachelor of Mobility Science,(B.M.Sc) 
Bachelor of Naturopathy and Yogic Sciences,(B.N.Y.Sc) 
Bachelor of Occupational Therapy,(B.O.T) 
Bachelor of Occupational Therapy,(B.O.Th) 
Bachelor of Optometry and Vision Science,(B.Optom) 
Bachelor of Pharmacy,(B.Pharma) 
Bachelor of Physical Education,(B.P.E) 
Bachelor of Physiotherapy,(B.P.T) 
Bachelor of Public Relations,(B.P.R) 
