,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Accurate Institute of Architecture & Planning,Greater Noida,Uttar Pradesh,,
"Acharyar NRV School of Architecture, Bangalore",Bangalore,Karnataka,,
Aligarh Muslim University,Aligarh,Uttar Pradesh,,
Angadi Instittute of Technology and Management,Belagavi,Karnataka,,
Anjuman-I-Islam`s Kalsekar Technical Campus,New Panvel,Maharashtra,,
Anna University,Chennai,Tamil Nadu,,
Apeejay Institute of Technology-School of Architecture & Planning,Greater Noida,Uttar Pradesh,,
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,,
Bharati Vidyapeeth`s College of Architecture,Navi Mumbai,Maharashtra,,
Bharati Vidyapeeth?s College of Architecture,Pune,Maharashtra,,
Birla Institute of Technology,Ranchi,Jharkhand,,
BMS College of Arhitecture,Bengaluru,Karnataka,,
"BMS School of Architecture, Yelahanka",Bangalore,Karnataka,,
Bundelkhand University,Jhansi,Uttar Pradesh,,
C.A.R.E School of Architecture (New),TRICHY,Tamil Nadu,,
Chandigarh University,Mohali,Punjab,,
Chitkara University,Rajpura,Punjab,,
College of Engineering & Technology,Akola,Maharashtra,,
"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,,
CT Institute of Architecture and Planning,Jalandhar,Punjab,,
D. Y. Patil College of Engineering & Technology Department of Architecture,Kolhapur,Maharashtra,,
Deenbandhu Chhotu Ram University of Science & Technology,Sonipat,Haryana,,
"Faculty of Architecture and Planning, Dr APJ Abbdul Kalam Technical University, Lucknow",Lucknow,Uttar Pradesh,,
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,,
"Government Engineering College, Thrissur",Thrissur,Kerala,,
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,,
Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,,
IDEAS-Institute of Design Education & Architectural Studies,Nagpur,Maharashtra,,
"Indian Institute of Engineering Science and Technology, Shibpur",HOWRAH,West Bengal,,
"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,,
"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,,
Indus University,Gandhinagar,Gujarat,,
Integral University,Lucknow,Uttar Pradesh,,
"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,,
JNAFAU School of Planning and Architecture,Hyderabad,Telangana,,
"Kamala Raheja Vidyanidhi Institute of Architecture and Environmental Studies, Mumbai",Mumbai,Maharashtra,,
Kavikulguru Institute of Technology and Science,Ramtek,Maharashtra,,
Lovely Professional University,Phagwara,Punjab,,
M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,,
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,,
"Madhav Institute of Technology and Science, Gwalior",Gwalior,Madhya Pradesh,,
Mahatma Education Society's Pillai's College of Architecture,New Panvel,Maharashtra,,
Mahatma Gandhi Mission`s Jawaharlal Nehru Engineering College,Aurangabad,Maharashtra,,
"Manipal School of Architecture and Planning, Mahe",Udupi,Karnataka,,
Marathwada Institute of Technology,Aurangabad,Maharashtra,,
