,Unnamed: 0,name,city,state,nirf_rank,ranked,rank,nirfRank
0,91,A G Patil Institute of Technology,Solapur,Maharashtra,,,,
1,92,A P Shah Institute Of Technology,Thane,Maharashtra,,,,
2,1914,"A S College, Deoghar",Deoghar,Jharkhand,,,,
3,1915,A. A. Government Arts College,Tiruchirappalli,Tamil Nadu,,,,
4,1916,"A. B. N. Seal College, Coochbehar",Koch Bihar,West Bengal,,,,
5,94,A. D. Patel Institute of Technology,Anand,Gujarat,,,,
6,1917,A. J. K. College of Arts & Science,Coimbatore,Tamil Nadu,,,,
7,1918,A. J. Kalasala,Machilipatnam,Andhra Pradesh,,,,
8,1919,A. M. A. L. Degree College,Visakhapatnam,Andhra Pradesh,,,,
9,95,A. M. Reddy Memorial College of Engineering and Technology,Narasaraopet,Andhra Pradesh,,,,
10,1920,A. N. R. College,Krishna,Andhra Pradesh,,,,
11,1921,A. R. Burla Mahila Varishtha Mahavidyalaya,Solapur,Maharashtra,,,,
12,1922,A. V. C. College,Mayiladuthurai,Tamil Nadu,,,,
13,1923,A. V. V. M. Sri Pushpam College,Thanjavur,Tamil Nadu,,,,
14,4657,A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,,,,6.0
15,1924,A.D.M. College for Women,Nagapattinam,Tamil Nadu,,,,
16,1925,A.D.P. College,Nagaon,Assam,,,,
17,1926,A.N.College,Patna,Bihar,,,,
18,1927,A.P Residential Degree College,MACHERLA,Andhra Pradesh,,,,
19,1928,A.P.A. College of Arts & Culture,"Palani, Dindigul District",Tamil Nadu,,,,
20,1929,A.P.C. Mahalaxmi College for Women,Thoothukkudi,Tamil Nadu,,,,
21,1357,A.V.C. College of Engineering,Mayiladuthurai,Tamil Nadu,,,,
22,1930,A.V.P. College of Arts and Science,Tiruppur,Tamil Nadu,,,,
23,99,ABACUS Institute of Engineering and Management,Mogra,West Bengal,,,,
24,4942,ABES Engin,Ghaziabad,Uttar Pradesh,,,,251.0
25,100,ABES Engineering College,Ghaziabad,Uttar Pradesh,,,,
26,101,"ABES Institute of Technology, Ghaziabad",Ghaziabad,Uttar Pradesh,,,,
27,1932,ABM College Jamshedpur,JAMSHEDPUR,Jharkhand,,,,
28,102,"ABSS Institute of Technology, Mawana Road, Meerut",MEERUT,Uttar Pradesh,,,,
29,106,ACE Engineering college,Hyderabad,Telangana,,,,
30,1367,ACROPOLIS FACULTY OF MANAGEMENT & RESEARCH,Indore,Madhya Pradesh,,,,
31,109,ACS College of Engineering,Bengaluru,Karnataka,,,,
32,1941,ACTS Degree College,Visakhapatnam,Andhra Pradesh,,,,
33,4184,"ADHIPARASAKTHI DENTAL COLLEGE AND HOSPITAL, KANCHEEPURAM",Melmaruvathur,Tamil Nadu,,,,
34,93,AISSMS College of Engineering,Pune,Maharashtra,,,,
35,4185,AJ Institute of Dental Sciences,Dakshina Kannada,Karnataka,,,,
36,1374,"AL BARKAT INSTITUTE OF MANAGEMENT STUDIES, ALIGARH",Aligarh,Uttar Pradesh,,,,
37,1764,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA",Patna,Bihar,,,,
38,1765,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR",Raipur,Chhattisgarh,,,,
39,1766,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH",Rishikesh,Uttarakhand,,,,
40,1767,"AMALA INSTITUTE OF MEDICAL SCIENCES, THRISSUR",Thrissur,Kerala,,,,
41,1389,AMJAD ALI KHAN COLLEGE OF BUSINESS ADMINISTRATION,Hyderabad,Telangana,,,,
42,1987,"ANNADA COLLEGE, HAZARIBAG",Hazaribag,Jharkhand,,,,
43,1402,APEEJAY INSTITUTE OF MANAGEMENT AND ENGINEERING TECHNICAL CAMPUS,Jalandhar,Punjab,,,,
44,2000,"APSPM`S ARTS & SCIENCE COLLEGE, AINPUR",AINPUR,Maharashtra,,,,
45,181,ATME College of Engineering,Mysore,Karnataka,,,,
46,4768,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,,,,77.0
47,2038,AVS College of Arts & Science,Salem,Tamil Nadu,,,,
48,187,AVS College of Technology (Formerly AVS Technical Campus),SALEM,Tamil Nadu,,,,
49,2040,"AVVP Shree Annadaneshwar College, Naregal",Gadag,Karnataka,,,,
50,97,Aalim Muhammed Salegh College of Engineering,Thiruvallur,Tamil Nadu,,,,
51,98,Aarupadai Veedu Institute of Technology,Chennai,Tamil Nadu,,,,
52,1757,Aarupadai Veedu Medical College and Hospital,Puducherry,Pondicherry,,,,
53,1358,Abasaheb Garware Institute of Management Studies,Sangli,Maharashtra,,,,
54,1931,Abhyayapuri College,Bongaigaon,Assam,,,,
55,4943,Academy of Maritime Educatio,Kancheepuram,Tamil Nadu,,,,252.0
56,1360,Academy of Maritime Education and Training,Kancheepuram,Tamil Nadu,,,,
57,5190,Academy of Scientific & Innovative Research,Ghaziabad,Uttar Pradesh,,,,18.0
58,4493,Academy of Scientific & Innovative Research ,Ghaziabad,Uttar Pradesh,,,,
59,104,Academy of Technology,Hooghly,West Bengal,,,,
60,1361,Accurate Institute of Advanced Management,Greater Noida,Uttar Pradesh,,,,
