,course
89,Advanced Program (Advanced Program) 
35,Bachelor Hotel Management and Catering Technology (B.H.M.C.T) 
42,Bachelor Library Science (B.L.Sc) 
55,Bachelor Of Physical Education (B.P.Ed) 
66,Bachelor Of Social Work (B.S.W) 
47,Bachelor in Mobility Science (B.M.Sc) 
56,Bachelor in Prosthetics and Orthotics (B.P.O) 
62,Bachelor in Science Education (B.S.E) 
5,Bachelor of Applied Sciences (B.A.S) 
8,Bachelor of Architecture (B.Arch) 
0,Bachelor of Arts (B.A) 
6,Bachelor of Arts (B.A.S.L.P) 
1,Bachelor of Arts Bachelor of Education (B.A. B.Ed) 
2,Bachelor of Arts Bachelor of Law (B.A.B.L) 
3,Bachelor of Arts Bachelor of Law (B.A.LLB) 
7,Bachelor of Audiology and Speech Language Pathology (B.A.S.L.P) 
4,Bachelor of Ayurvedic Medicine and Surgery (B.A.M.S) 
9,Bachelor of Business Administration (B.B.A) 
10,Bachelor of Business Administration Bachelor of Law (B.B.A LL.B) 
11,Bachelor of Business Management (B.B.M) 
12,Bachelor of Business Studies (B.B.S) 
16,Bachelor of Commerce (B.Com) 
14,Bachelor of Communication Journalism (B.C.J) 
13,Bachelor of Computer Applications (B.C.A) 
15,Bachelor of Computer Science (B.C.S) 
18,Bachelor of Dental Surgery (B.D.S) 
20,Bachelor of Design (B.Des) 
17,Bachelor of Divinity (B.D) 
23,Bachelor of Education (B.Ed) 
25,Bachelor of Education (B.EdQ) 
22,Bachelor of Electronic Science (B.E.S) 
26,Bachelor of Elementary Education (B.EI.ED) 
27,Bachelor of Elementary Education (B.EL.Ed) 
21,Bachelor of Engineering (B.E) 
31,Bachelor of Fashion Technology (B.F.Tech) 
29,Bachelor of Financial Investment and Analysis (B.F.I.A) 
28,Bachelor of Fine Arts (B.F.A) 
30,Bachelor of Fishery Sciences (B.F.S) 
32,Bachelor of General Law (B.G.L) 
36,Bachelor of Homeopathic Medicine And Surgery (B.H.M.S) 
37,Bachelor of Hospitality and Tourism Management (B.H.T.M) 
34,Bachelor of Hotel Management (B.H.M) 
38,Bachelor of Information Systems Management (B.I.S.M) 
77,Bachelor of Journalism and Mass Communication (BJMC) 
41,Bachelor of Labour Management (B.L.M) 
80,Bachelor of Law (LL.B) 
39,Bachelor of Laws (B.L) 
40,Bachelor of Library and Information Science (B.L.I.S) 
43,Bachelor of Literature (B.Lit) 
44,Bachelor of Medical Laboratory Technology (B.M.L.T) 
46,Bachelor of Medical Record Science (B.M.R.Sc) 
49,Bachelor of Medical Technology (B.M.T) 
76,Bachelor of Medicine (Bachelor of Medicine) 
81,Bachelor of Medicine Bachelor of Surgery (M.B.B.S) 
45,Bachelor of Mental Retardation (B.M.R) 
48,Bachelor of Mobility Science (B.M.Sc) 
50,Bachelor of Naturopathy and Yogic Sciences (B.N.Y.Sc) 
51,Bachelor of Occupational Therapy (B.O.T) 
52,Bachelor of Occupational Therapy (B.O.Th) 
53,Bachelor of Optometry and Vision Science (B.Optom) 
59,Bachelor of Pharmacy (B.Pharma) 
54,Bachelor of Physical Education (B.P.E) 
58,Bachelor of Physiotherapy (B.P.T) 
57,Bachelor of Public Relations (B.P.R) 
60,Bachelor of Rehabilitation Therapy (B.R.T) 
61,Bachelor of Science (B.S) 
67,Bachelor of Science (B.Sc) 
68,Bachelor of Science Bachelor of Education (B.Sc.B.Ed) 
69,Bachelor of Science in Education (B.Sc.Ed) 
65,Bachelor of Siddha Medical Sciences (B.S.M.S) 
64,Bachelor of Socio Legal Sciences Bachelor of Laws (B.S.L.LL.B) 
63,Bachelor of Speech Language And Audiology (B.S.L.A) 
72,Bachelor of Technology (B.Tech) 
70,Bachelor of Tourism Administration (B.T.A) 
74,Bachelor of Unani Medicine And Surgery (B.U.M.S) 
79,Bachelor of Unani Medicine And Surgery (Kamil e Tob o Jarahat) 
75,Bachelor of Veterinary Science (B.V.Sc) 
24,Bachelor of education in Artificial Intelligence (B.Ed AI) 
73,Bachelors of Technology (B.Tech) 
19,Basic Development Therapy (B.D.T) 
71,Basic Training Certificate (B.T.C) 
33,Behavioral Healthcare Education (B.H.Ed) 
84,Clinical Psychology (Psy.D (Cl.Psy)) 
171,Diploma (Diploma) 
78,Diploma in Special Education (D.S.E (CP)) 
170,Doctor of Medicine (D.M) 
113,Doctor of Medicine (M.D) 
173,Doctor of Medicine in Ayurveda (M.D.Ayurveda) 
174,Doctor of Medicine in Homoeo (M.D.Homoeo) 
176,Doctor of Medicine in Siddha (M.D.Siddha) 
177,Doctor of Medicine in Unani (M.D.Unani) 
83,Doctor of Philosophy (Ph. D) 
180,Doctor of Philosophy (Ph.D) 
90,Executive Fellow Program In Management (E.F.P.M) 
91,Executive Management Programme (E.M.P) 
92,Executive Post Graduate Certificate (Executive PG Certificate) 
93,Executive Post Graduate Programme (Executive PG Programme) 
94,Fellow Programme (Fellow Programme) 
95,International Programme (International Programme) 
114,Management Development Programme (M.D.P) 
107,Master Of Communication And Journalism (M.C.J) 
130,Master Of Health Science (M.H.Sc) 
145,Master Of Physical Education (M.P.Ed) 
100,Master of Architecture (M.Arch) 
97,Master of Arts (M.A) 
98,Master of Arts in Management (M.A.M) 
99,Master of Arts in Personal Management (M.A.P.M) 
101,Master of Business Administration (M.B.A) 
164,Master of Business Administration (MBA) 
102,Master of Business Economics (M.B.E) 
103,Master of Business Laws (M.B.L) 
104,Master of Business Management (M.B.M) 
105,Master of Business Studies (M.B.S) 
111,Master of Chirurgical (M.Ch) 
112,Master of Commerce (M.Com) 
108,Master of Comparative Laws (M.C.L) 
106,Master of Computer Applications (M.C.A) 
109,Master of Computer Management (M.C.M) 
110,Master of Corporate Secretaryship (M.C.S) 
115,Master of Dental Surgery (M.D.S) 
118,Master of Education (M.Ed) 
117,Master of Engineering (M.E) 
122,Master of Film Management (M.F.M) 
121,Master of Finance And Control (M.F.C) 
123,Master of Financial Services (M.F.S) 
120,Master of Fine Arts (M.F.A) 
124,Master of Fishery Sciences (M.F.Sc) 
125,Master of Foreign Trade (M.F.T) 
126,Master of Hospital Administration (M.H.A) 
127,Master of Hospitality And Hotel Management (M.H.H.M) 
128,Master of Hospitality Management (M.H.M) 
129,Master of Human Resource Management (M.H.R.M) 
165,Master of Industrial Relation and Personal Management (MIR and PM) 
132,Master of International Business (M.I.B) 
134,Master of Journalism (M.J) 
82,Master of Journalism and Mass Communication (MJMC) 
137,Master of Labour Management (M.L.M) 
96,Master of Law (LL.M) 
135,Master of Laws (M.L) 
138,Master of Library Science (M.L.Sc) 
136,Master of Library and Information Science (M.L.I.Sc) 
140,Master of Management Program (M.M.P) 
141,Master of Management Studies (M.M.S) 
139,Master of Marketing Management (M.M.M) 
142,Master of Occupational Theraphy (M.O.T) 
148,Master of Performance Management (M.P.M) 
143,Master of Performing Arts (M.P.A) 
167,Master of Personal Management and Industrial Relation (MPM and IR) 
166,Master of Personnel Management (MPM) 
151,Master of Pharmacy (M.Pharma) 
178,Master of Philosophy (M.Phil) 
