,name,city,state,nirfRank,rank
0,A G Patil Institute of Technology,Solapur,Maharashtra,nan,nan
1,A P Shah Institute Of Technology,Thane,Maharashtra,nan,nan
2,"A S College, Deoghar",Deoghar,Jharkhand,nan,nan
3,A. A. Government Arts College,Tiruchirappalli,Tamil Nadu,nan,nan
4,"A. B. N. Seal College, Coochbehar",Koch Bihar,West Bengal,nan,nan
5,A. D. Patel Institute of Technology,Anand,Gujarat,nan,nan
6,A. J. K. College of Arts & Science,Coimbatore,Tamil Nadu,nan,nan
7,A. J. Kalasala,Machilipatnam,Andhra Pradesh,nan,nan
8,A. M. A. L. Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
9,A. M. Reddy Memorial College of Engineering and Technology,Narasaraopet,Andhra Pradesh,nan,nan
10,A. N. R. College,Krishna,Andhra Pradesh,nan,nan
11,A. R. Burla Mahila Varishtha Mahavidyalaya,Solapur,Maharashtra,nan,nan
12,A. V. C. College,Mayiladuthurai,Tamil Nadu,nan,nan
13,A. V. V. M. Sri Pushpam College,Thanjavur,Tamil Nadu,nan,nan
14,A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,6,nan
15,A.D.M. College for Women,Nagapattinam,Tamil Nadu,nan,nan
16,A.D.P. College,Nagaon,Assam,nan,nan
17,A.N.College,Patna,Bihar,nan,nan
18,A.P Residential Degree College,MACHERLA,Andhra Pradesh,nan,nan
19,A.P.A. College of Arts & Culture,"Palani, Dindigul District",Tamil Nadu,nan,nan
20,A.P.C. Mahalaxmi College for Women,Thoothukkudi,Tamil Nadu,nan,nan
21,A.V.C. College of Engineering,Mayiladuthurai,Tamil Nadu,nan,nan
22,A.V.P. College of Arts and Science,Tiruppur,Tamil Nadu,nan,nan
23,ABACUS Institute of Engineering and Management,Mogra,West Bengal,nan,nan
24,ABES Engin,Ghaziabad,Uttar Pradesh,251,nan
25,ABES Engineering College,Ghaziabad,Uttar Pradesh,nan,nan
26,"ABES Institute of Technology, Ghaziabad",Ghaziabad,Uttar Pradesh,nan,nan
27,ABM College Jamshedpur,JAMSHEDPUR,Jharkhand,nan,nan
28,"ABSS Institute of Technology, Mawana Road, Meerut",MEERUT,Uttar Pradesh,nan,nan
29,ACE Engineering college,Hyderabad,Telangana,nan,nan
30,ACROPOLIS FACULTY OF MANAGEMENT & RESEARCH,Indore,Madhya Pradesh,nan,nan
31,ACS College of Engineering,Bengaluru,Karnataka,nan,nan
32,ACTS Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
33,"ADHIPARASAKTHI DENTAL COLLEGE AND HOSPITAL, KANCHEEPURAM",Melmaruvathur,Tamil Nadu,nan,nan
34,AISSMS College of Engineering,Pune,Maharashtra,nan,nan
35,AJ Institute of Dental Sciences,Dakshina Kannada,Karnataka,nan,nan
36,"AL BARKAT INSTITUTE OF MANAGEMENT STUDIES, ALIGARH",Aligarh,Uttar Pradesh,nan,nan
37,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA",Patna,Bihar,nan,nan
38,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR",Raipur,Chhattisgarh,nan,nan
39,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH",Rishikesh,Uttarakhand,nan,nan
40,"AMALA INSTITUTE OF MEDICAL SCIENCES, THRISSUR",Thrissur,Kerala,nan,nan
41,AMJAD ALI KHAN COLLEGE OF BUSINESS ADMINISTRATION,Hyderabad,Telangana,nan,nan
42,"ANNADA COLLEGE, HAZARIBAG",Hazaribag,Jharkhand,nan,nan
43,APEEJAY INSTITUTE OF MANAGEMENT AND ENGINEERING TECHNICAL CAMPUS,Jalandhar,Punjab,nan,nan
44,"APSPM`S ARTS & SCIENCE COLLEGE, AINPUR",AINPUR,Maharashtra,nan,nan
45,ATME College of Engineering,Mysore,Karnataka,nan,nan
46,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,77,nan
47,AVS College of Arts & Science,Salem,Tamil Nadu,nan,nan
48,AVS College of Technology (Formerly AVS Technical Campus),SALEM,Tamil Nadu,nan,nan
49,"AVVP Shree Annadaneshwar College, Naregal",Gadag,Karnataka,nan,nan
50,Aalim Muhammed Salegh College of Engineering,Thiruvallur,Tamil Nadu,nan,nan
51,Aarupadai Veedu Institute of Technology,Chennai,Tamil Nadu,nan,nan
52,Aarupadai Veedu Medical College and Hospital,Puducherry,Pondicherry,nan,nan
53,Abasaheb Garware Institute of Management Studies,Sangli,Maharashtra,nan,nan
54,Abhyayapuri College,Bongaigaon,Assam,nan,nan
55,Academy of Maritime Educatio,Kancheepuram,Tamil Nadu,252,nan
