,name,city,state,nirf_rank,ranked,rank,nirfRank
0,Accurate Institute of Architecture & Planning,Greater Noida,Uttar Pradesh,,nan,nan,nan
1,"Acharyar NRV School of Architecture, Bangalore",Bangalore,Karnataka,,nan,nan,nan
2,Aligarh Muslim University,Aligarh,Uttar Pradesh,,nan,nan,nan
3,Angadi Instittute of Technology and Management,Belagavi,Karnataka,,nan,nan,nan
4,Anjuman-I-Islam`s Kalsekar Technical Campus,New Panvel,Maharashtra,,nan,nan,nan
5,Anna University,Chennai,Tamil Nadu,,nan,nan,nan
6,Apeejay Institute of Technology-School of Architecture & Planning,Greater Noida,Uttar Pradesh,,nan,nan,nan
7,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,,nan,nan,nan
8,Bharati Vidyapeeth`s College of Architecture,Navi Mumbai,Maharashtra,,nan,nan,nan
9,Bharati Vidyapeeth?s College of Architecture,Pune,Maharashtra,,nan,nan,nan
10,Birla Institute of Technology,Ranchi,Jharkhand,,nan,nan,nan
11,BMS College of Arhitecture,Bengaluru,Karnataka,,nan,nan,nan
12,"BMS School of Architecture, Yelahanka",Bangalore,Karnataka,,nan,nan,nan
13,Bundelkhand University,Jhansi,Uttar Pradesh,,nan,nan,nan
14,C.A.R.E School of Architecture (New),TRICHY,Tamil Nadu,,nan,nan,nan
15,Chandigarh University,Mohali,Punjab,,nan,nan,nan
16,Chitkara University,Rajpura,Punjab,,nan,nan,nan
17,College of Engineering & Technology,Akola,Maharashtra,,nan,nan,nan
18,"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,,nan,nan,nan
19,CT Institute of Architecture and Planning,Jalandhar,Punjab,,nan,nan,nan
20,D. Y. Patil College of Engineering & Technology Department of Architecture,Kolhapur,Maharashtra,,nan,nan,nan
21,Deenbandhu Chhotu Ram University of Science & Technology,Sonipat,Haryana,,nan,nan,nan
22,"Faculty of Architecture and Planning, Dr APJ Abbdul Kalam Technical University, Lucknow",Lucknow,Uttar Pradesh,,nan,nan,nan
23,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,,nan,nan,nan
24,"Government Engineering College, Thrissur",Thrissur,Kerala,,nan,nan,nan
25,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,,nan,nan,nan
26,Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,,nan,nan,nan
27,IDEAS-Institute of Design Education & Architectural Studies,Nagpur,Maharashtra,,nan,nan,nan
28,"Indian Institute of Engineering Science and Technology, Shibpur",HOWRAH,West Bengal,,nan,nan,nan
29,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,,nan,nan,nan
30,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,,nan,nan,nan
31,Indus University,Gandhinagar,Gujarat,,nan,nan,nan
32,Integral University,Lucknow,Uttar Pradesh,,nan,nan,nan
33,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,,nan,nan,nan
34,JNAFAU School of Planning and Architecture,Hyderabad,Telangana,,nan,nan,nan
35,"Kamala Raheja Vidyanidhi Institute of Architecture and Environmental Studies, Mumbai",Mumbai,Maharashtra,,nan,nan,nan
36,Kavikulguru Institute of Technology and Science,Ramtek,Maharashtra,,nan,nan,nan
37,Lovely Professional University,Phagwara,Punjab,,nan,nan,nan
38,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,,nan,nan,nan
39,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,,nan,nan,nan
40,"Madhav Institute of Technology and Science, Gwalior",Gwalior,Madhya Pradesh,,nan,nan,nan
41,Mahatma Education Society's Pillai's College of Architecture,New Panvel,Maharashtra,,nan,nan,nan
42,Mahatma Gandhi Mission`s Jawaharlal Nehru Engineering College,Aurangabad,Maharashtra,,nan,nan,nan
43,"Manipal School of Architecture and Planning, Mahe",Udupi,Karnataka,,nan,nan,nan
44,Marathwada Institute of Technology,Aurangabad,Maharashtra,,nan,nan,nan
45,"Marathwada Mitra Mandal`s College of Architecture, Pune",Pune,Maharashtra,,nan,nan,nan
46,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,,nan,nan,nan
47,MES Engineering College,Malappuram District,Kerala,,nan,nan,nan
48,"MIT Art, Design and Technology University, Pune",Pune,Maharashtra,,nan,nan,nan
49,"Moradabad Educational Trust, Group of Institutions, Faculty of B. Architecture",Moradabad,Uttar Pradesh,,nan,nan,nan
50,"N.D.M.V.P.Samajs College of Architecture, Nashik",NASHIK,Maharashtra,,nan,nan,nan
51,"National Institute of Technology, Calicut",Kozhikode,Kerala,,nan,nan,nan
52,"National Institute of Technology, Hamirpur",Hamirpur,Himachal Pradesh,,nan,nan,nan
53,"National Institute of Technology, Patna",Patna,Bihar,,nan,nan,nan
54,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,,nan,nan,nan
55,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,,nan,nan,nan
56,Navrachana University,Vadodara,Gujarat,,nan,nan,nan
57,Nirma University,Ahmedabad,Gujarat,,nan,nan,nan
58,Om Institute of Technology & Management,HISAR,Haryana,,nan,nan,nan
59,Omdayal Group of Institutions,Howrah,West Bengal,,nan,nan,nan
60,"P D A College of Engineering, Gulbarga",Kalaburagi,Karnataka,,nan,nan,nan
61,P.P. Savani University,Surat,Gujarat,,nan,nan,nan
62,Parul University,Vadodara,Gujarat,,nan,nan,nan
63,Periyar Manaimmai Institute of Science & Technology (PMIST),Vallam Thanjavur,Tamil Nadu,,nan,nan,nan
64,Pimpri Chinchwad Education Trust S.B Patil College of Architecture and Design,PUNE,Maharashtra,,nan,nan,nan
65,Poornima University,Jaipur,Rajasthan,,nan,nan,nan
